index,full_name,sex,age,nationality,Job,Height,picture
0,A.J._Buckley,M,1978,Ireland,Actor,,jpg
1,A.R._Rahman,M,1967,India,Musician,,jpg
2,Aamir_Khan,M,1965,India,Actor,168,jpg
3,Aaron_Tveit,M,1983,USA,Actor,183,jpg
4,Aaron_Yoo,M,1979,USA,Actor,,jpg
5,Abbie_Cornish,F,1982,Austrailia,Actor,173,jpg
6,Abigail_Breslin,F,1996,USA,Actor,155,jpg
7,Abigail_Spencer,F,1981,USA,Actor,165,jpg
8,Adam_Beach,M,1972,Canada,Actor,,jpg
9,Adam_Brody,M,1979,USA,Actor,180,jpg
10,Adam_Copeland,M,1973,Canada,Sports,196,jpg
11,Adam_Driver,M,1983,USA,Actor,189,jpg
12,Adrianne_Curry,F,1982,USA,Actor,179,jpg
13,Adrianne_Palicki,F,1983,USA,Actor,180,jpg
14,Agyness_Deyn,F,1983,UK,Model,173,jpg
15,Aidan_Turner,M,1983,Ireland,Actor,183,jpg
16,Ajay_Devgn,M,1969,India,Actor,175,jpg
17,Akshay_Kumar,M,1967,India,Actor,,jpg
18,Alain_Delon,M,1935,France,Actor,177,jpg
19,Alan_Alda,M,1936,USA,Actor,188,jpg
20,Alan_Cumming,M,1965,Scotland,Actor,178,jpg
21,Alan_Rickman,M,1946,UK,Actor,185,jpg
22,Alan_Tudyk,M,1971,USA,Actor,183,jpg
23,Alba_Rohrwacher,F,1979,Italy,Actor,,jpg
24,Aldis_Hodge,M,1986,USA,Actor,,jpg
25,Alex_Borstein,F,1971,USA,Actor,152,jpg
26,Alex_Kingston,F,1963,UK,Actor,170,jpg
27,Alex_Pettyfer,M,1990,UK,Actor,181,jpg
28,Alex_Trebek,M,1940,Canada,Anchor,173,jpg
29,Alexa_Davalos,F,1982,USA,Actor,170,jpg
30,Alexander_Siddig,M,1965,Sudan,Actor,182,jpg
31,Alexandra_Daddario,F,1986,USA,Actor,173,jpg
32,Alexandra_Roach,F,1987,UK,Actor,,jpg
33,Alexz_Johnson,F,1986,Canada,Musician,,jpg
34,Alfre_Woodard,F,1952,USA,Actor,,jpg
35,Alice_Eve,F,1982,UK,Actor,166,jpg
36,Alicja_Bachleda,F,1983,USA,Actor,168,jpg
37,Alison_Arngrim,F,1962,USA,Actor,162,jpg
38,Alison_Pill,F,1985,Canada,Actor,168,jpg
39,Allison_Williams,F,1988,USA,Actor,167,jpg
40,Amanda_Seyfried,F,1985,USA,Actor,159,jpg
41,Amaury_Nolasco,M,1970,Puertorico,Actor,179,jpg
42,Amber_Riley,F,1986,USA,Actor,,jpg
43,America_Ferrera,F,1984,USA,Actor,155,jpg
44,Amitabh_Bachchan,M,1942,India,Actor,188,jpg
45,Amy_Poehler,F,1971,USA,Actor,157,jpg
46,Amy_Schumer,F,1981,USA,Actor,170,jpg
47,Ana_Gasteyer,F,1967,USA,Actor,,jpg
48,Andre_Braugher,M,1962,USA,Actor,183,jpg
49,Andrea_Riseborough,F,1981,UK,Actor,170,jpg
50,Andrew_Dice_Clay,M,1957,USA,Actor,180,jpg
51,Andrew_Garfield,M,1983,USA,Actor,179,jpg
52,Andrew_Lee_Potts,M,1979,UK,Actor,,jpg
53,Andrew_Rannells,M,1978,USA,Actor,185,jpg
54,Andrew_Scott,M,1976,Ireland,Actor,173,jpg
55,Andy_Richter,M,1966,USA,Actor,188,jpg
56,Andy_Samberg,M,1978,USA,Actor,177,jpg
57,Aneurin_Barnard,M,1987,UK,Actor,175,jpg
58,Ang_Lee,M,1954,China,Director,,jpg
59,Angela_Kinsey,F,1971,USA,Actor,155,jpg
60,Anne_Hathaway,F,1982,USA,Actor,173,jpg
61,Ansel_Elgort,M,1994,USA,Actor,191,jpg
62,Anthony_Anderson,M,1970,USA,Actor,178,jpg
63,Anthony_Mackie,M,1978,USA,Actor,178,jpg
64,Anthony_Rapp,M,1971,USA,Actor,173,jpg
65,Anton_Yelchin,M,1989,Russia,Actor,175,jpg
66,Antonio_Cupo,M,1978,Canada,Actor,185,jpg
67,Arden_Cho,F,1985,USA,Actor,163,jpg
68,Armand_Assante,M,1949,USA,Actor,178,jpg
69,Armie_Hammer,M,1986,USA,Actor,196,jpg
70,Asa_Butterfield,M,1997,UK,Actor,183,jpg
71,Ashley_Greene,F,1987,USA,Actor,165,jpg
72,Ashley_Jensen,F,1969,Scotland,Actor,,jpg
73,Audra_McDonald,F,1970,Germany,Actor,,jpg
74,Audrina_Patridge,F,1985,USA,Actor,171,jpg
75,Avan_Jogia,M,1992,Canada,Actor,178,jpg
76,B.J._Novak,M,1979,USA,Actor,174,jpg
77,Barbara_Eden,F,1931,USA,Actor,162,jpg
78,Barbara_Hershey,F,1948,USA,Actor,,jpg
79,Bear_Grylls,M,1974,UK,Activist,182,jpg
80,Bellamy_Young,F,1970,USA,Actor,170,jpg
81,Ben_Feldman,M,1980,USA,Actor,173,jpg
82,Ben_McKenzie,M,1978,USA,Actor,173,jpg
83,Ben_Stiller,M,1965,USA,Actor,170,jpg
84,Ben_Whishaw,M,1980,UK,Actor,175,jpg
85,Beth_Grant,F,1949,USA,Actor,,jpg
86,Bethany_Mota,F,1995,USA,Actor,163,jpg
87,Betty_White,F,1922,USA,Actor,163,jpg
88,Bill_Nighy,M,1949,UK,Actor,188,jpg
89,Bill_Pullman,M,1953,USA,Actor,187,jpg
90,Billie_Joe_Armstrong,M,1972,USA,Musician,170,jpg
91,Bingbing_Li,F,1973,China,Actor,165,jpg
92,Blair_Underwood,M,1964,USA,Actor,180,jpg
93,Blake_Michael,M,1996,USA,Actor,,jpg
94,Blake_Shelton,M,1976,USA,Musician,196,jpg
95,Bob_Barker,M,1923,USA,Anchor,185,jpg
96,Bobby_Cannavale,M,1970,USA,Actor,188,jpg
97,Bonnie_Wright,F,1991,UK,Actor,168,jpg
98,Booboo_Stewart,M,1994,USA,Actor,173,jpg
99,Brad_Paisley,M,1972,USA,Musician,,jpg
100,Bradley_Steven_Perry,M,1998,USA,Actor,170,jpg
101,Breckin_Meyer,M,1974,USA,Actor,165,jpg
102,Brenda_Blethyn,F,1946,UK,Actor,,jpg
103,Brendan_Gleeson,M,1955,Ireland,Actor,188,png
104,Brett_Davern,M,1992,USA,Actor,175,png
105,Brian_Blessed,M,1936,UK,Actor,175,png
106,Brian_Cox,M,1946,UK,Actor,176,png
107,Brian_Dennehy,M,1938,USA,Actor,190,png
108,Bridget_Moynahan,F,1971,USA,Actor,177,png
109,Bridget_Regan,F,1982,USA,Actor,175,png
110,Brit_Marling,F,1982,USA,Actor,170,png
111,Brooke_Burke-Charvet,F,1971,USA,Actor,170,png
112,Bruce_Boxleitner,M,1950,USA,Actor,,png
113,Bruno_Ganz,M,1941,Switzerland,Actor,168,png
114,Bruno_Mars,M,1985,USA,Musician,165,png
115,Burt_Reynolds,M,1936,USA,Actor,180,png
116,CCH_Pounder,F,1952,USA,Actor,,png
117,Caitriona_Balfe,F,1979,Ireland,Actor,177,png
118,Caity_Lotz,F,1986,USA,Actor,168,png
119,Callan_McAuliffe,M,1995,Austrailia,Actor,178,png
120,Callie_Thorne,F,1969,USA,Actor,,png
121,Cameron_Boyce,M,1999,USA,Actor,168,png
122,Candace_Cameron_Bure,F,1976,USA,Actor,157,png
123,Candice_Accola,F,1987,USA,Actor,173,png
124,Candice_Patton,F,1988,USA,Actor,,png
125,Caroline_Rhea,F,1964,Canada,Actor,,png
126,Carolyn_Hennesy,F,1962,USA,Actor,,png
127,Carrie_Ann_Inaba,F,1968,USA,Actor,,png
128,Carrie_Fisher,F,1956,USA,Actor,155,png
129,Carrie_Underwood,F,1983,USA,Musician,160,png
130,Casey_Affleck,M,1975,USA,Actor,175,png
131,Casey_Wilson,F,1980,USA,Actor,,png
132,Cassandra_Peterson,F,1951,USA,Actor,170,png
133,Caterina_Murino,F,1977,Italy,Actor,,png
134,Caterina_Scorsone,F,1981,Canada,Actor,162,png
135,Catherine_Hardwicke,F,1955,USA,Director,,png
136,Cedric_the_Entertainer,M,1964,USA,Actor,,png
137,Celia_Imrie,F,1952,UK,Actor,,png
138,Chace_Crawford,M,1985,USA,Actor,183,png
139,Chadwick_Boseman,M,1976,USA,Actor,183,png
140,Charice,F,1992,Philippines ,Musician,155,png
141,Charles_Dance,M,1946,UK,Actor,191,png
142,Charles_S._Dutton,M,1951,USA,Actor,179,png
143,Charlie_Day,M,1976,USA,Actor,170,png
144,Charlotte_Gainsbourg,F,1971,UK,Actor,,png
145,Chazz_Palminteri,M,1952,USA,Actor,191,png
146,Chelsea_Handler,F,1975,USA,Actor,168,png
147,Cher,F,1946,USA,Musician,174,png
148,Cheryl_Ladd,F,1951,USA,Actor,163,png
149,Chi_McBride,M,1961,USA,Actor,194,png
150,Chiwetel_Ejiofor,M,1977,UK,Actor,178,png
151,Chloe_Bennet,F,1992,USA,Actor,167,png
152,Chloe_Dykstra,F,1988,USA,Actor,,png
153,Chris_Colfer,M,1990,USA,Actor,179,png
154,Chris_Hemsworth,M,1983,Austrailia,Actor,190,png
155,Chris_Lowell,M,1984,USA,Actor,,png
156,Chris_Martin,M,1977,UK,Musician,186,png
157,Chris_Messina,M,1974,USA,Actor,175,png
158,Chris_Pine,M,1980,USA,Actor,183,png
159,Christian_Kane,M,1972,USA,Actor,174,png
160,Christina_Hendricks,F,1975,USA,Actor,171,png
161,Christina_Ricci,F,1980,USA,Actor,155,png
162,Christopher_Mintz-Plasse,M,1989,USA,Actor,173,png
163,Cierra_Ramirez,F,1995,USA,Actor,155,png
164,Cilla_Black,F,1943,UK,Musician,,png
165,Cillian_Murphy,M,1976,Ireland,Actor,175,png
166,Cindy_Williams,F,1947,USA,Actor,163,png
167,Claudia_Black,F,1972,Austrailia,Actor,,png
168,Claudia_Lee,F,1996,USA,Actor,168,png
169,Cliff_Curtis,M,1968,New Zealand ,Actor,184,png
170,Clive_Owen,M,1964,UK,Actor,189,png
171,Colin_Donnell,M,1982,USA,Actor,179,png
172,Constance_Zimmer,F,1970,USA,Actor,,png
173,Corbin_Bleu,M,1989,USA,Actor,174,png
174,Corey_Stoll,M,1976,USA,Actor,187,png
175,Cory_Monteith,M,1982,Canada,Actor,192,png
176,Costas_Mandylor,M,1965,Austrailia,Actor,,png
177,Cote_de_Pablo,F,1979,USA,Actor,169,png
178,Cristin_Milioti,F,1985,USA,Actor,158,png
179,Cyndi_Lauper,F,1953,USA,Musician,160,png
180,Dakota_Fanning,F,1994,USA,Actor,163,png
181,Damian_Lewis,M,1971,UK,Actor,185,png
182,Damon_Lindelof,M,1973,USA,Writer,,png
183,Damon_Wayans,M,1960,USA,Actor,188,png
184,Dan_Aykroyd,M,1952,Canada,Actor,185,png
185,Dan_Fogler,M,1976,USA,Actor,170,png
186,Dan_Stevens,M,1982,UK,Actor,183,png
187,Dana_Delany,F,1956,USA,Actor,167,png
188,Dane_Cook,M,1972,USA,Actor,183,png
189,Danica_McKellar,F,1975,USA,Actor,163,png
190,Daniel_Auteuil,M,1950,France,Actor,170,png
191,Daniel_Craig,M,1968,UK,Actor,178,png
192,Daniel_Dae_Kim,M,1968,Korea,Actor,175,png
193,Daniel_Tosh,M,1975,Germany,Actor,191,png
194,Danielle_Campbell,F,1995,USA,Actor,160,png
195,Danielle_Panabaker,F,1987,USA,Actor,168,png
196,Danny_Dyer,M,1977,UK,Actor,183,png
197,Danny_McBride,M,1976,USA,Actor,178,png
198,Danny_Pino,M,1974,USA,Actor,183,png
199,Darren_Criss,M,1987,USA,Actor,173,png
200,Dave_Bautista,M,1969,USA,Actor,190,png
